score,pred_identity,true_identity_of_probe,is_enrolled
0.3910060524940491,Alan_Greenspan,AJ_Cook,False
0.3350841701030731,Silvan_Shalom,AJ_Lamas,False
0.3404499292373657,Roman_Polanski,Aaron_Eckhart,False
0.3778957426548004,Claudia_Pechstein,Aaron_Guiel,False
0.314905047416687,Tiger_Woods,Aaron_Patterson,False
0.3729250729084015,George_Lopez,Aaron_Pena,False
0.37765195965766907,Vojislav_Kostunica,Aaron_Sorkin,False
0.37701690196990967,Placido_Domingo,Aaron_Tippin,False
0.3347610533237457,Alan_Greenspan,Abba_Eban,False
0.32640209794044495,Victoria_Clarke,Abbas_Kiarostami,False
0.3406428098678589,Richard_Armitage,Abdel_Madi_Shabneh,False
0.3607043921947479,Bulent_Ecevit,Abdul_Majeed_Shobokshi,False
0.3277350664138794,Kelvin_Sampson,Abdul_Rahman,False
0.3696606457233429,Leonardo_DiCaprio,Abdullah_Ahmad_Badawi,False
0.2933896481990814,Luis_Gonzalez_Macchi,Abdullah_Nasseef,False
0.3642326593399048,Dick_Clark,Abdullatif_Sener,False
0.3102378845214844,Antonio_Banderas,Abel_Aguilar,False
0.36899977922439575,Roberto_Carlos,Abner_Martinez,False
0.40988224744796753,Ciro_Gomes,Abraham_Foxman,False
0.3744752109050751,Ricardo_Lagos,Aby_Har-Even,False
0.31017833948135376,Rick_Barnes,Adam_Ant,False
0.3129388093948364,Leonardo_DiCaprio,Adam_Freier,False
0.29542896151542664,Jean-David_Levitte,Adam_Herbert,False
0.35976260900497437,Juan_Pablo_Montoya,Adam_Kennedy,False
0.4207390546798706,Ian_Thorpe,Adam_Mair,False
0.26883772015571594,Ian_McKellen,Adam_Rich,False
0.3571978509426117,Mark_Hurlbert,Adam_Scott,False
0.3457239270210266,Norah_Jones,Adelina_Avila,False
0.31913942098617554,Alejandro_Toledo,Adisai_Bodharamik,False
0.4078928530216217,Samuel_Waksal,Adolfo_Rodriguez_Saa,False
0.3830004036426544,GL_Peiris,Adoor_Gopalakarishnan,False
0.4321299195289612,Rob_Marshall,Adrian_Annus,False
0.34292006492614746,Jose_Maria_Aznar,Adrian_Fernandez,False
